FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000404	1	5	3	4	7	3	9	1	7	10	3	7	1	9	4	4	4	4	4	4	4	4	4	5	4	5	6
OG0000405	2	5	10	5	4	3	4	2	12	5	9	7	1	1	2	3	4	4	4	4	4	5	5	4	5	5	6
OG0000406	6	9	2	7	8	4	6	5	2	5	4	3	6	3	4	4	4	4	5	5	5	5	6	7	4	4	4
OG0000407	3	6	6	3	7	4	4	4	4	5	9	4	6	5	4	4	4	4	4	4	4	5	5	4	4	4	6
OG0000408	5	4	5	9	5	7	5	7	1	3	3	3	7	6	4	4	4	4	5	5	5	5	5	6	4	4	3
OG0000410	6	8	3	4	5	5	7	4	1	6	6	6	7	2	4	5	5	5	5	5	5	5	6	5	4	6	6
OG0000411	8	7	8	5	7	4	5	4	2	4	4	4	3	5	4	4	4	4	5	5	6	7	7	6	4	4	4
OG0000413	2	5	7	6	6	6	5	10	3	6	7	3	3	1	3	4	5	5	5	5	5	5	5	6	5	5	6
OG0000414	0	0	1	1	0	12	1	0	0	2	0	1	0	52	2	1	1	1	1	1	1	1	0	1	0	1	1
OG0000415	0	0	0	0	0	0	0	0	69	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	6	0	0
OG0000419	0	5	5	5	5	3	7	13	6	2	5	6	2	5	4	4	5	5	5	5	5	5	5	5	7	5	5
OG0000420	0	8	5	3	8	5	7	6	3	7	4	8	1	4	4	4	5	5	5	5	5	5	5	5	5	5	5
OG0000422	1	9	2	0	7	2	10	6	3	5	8	10	5	1	3	4	4	4	4	3	3	3	3	3	4	6	6
OG0000423	0	8	1	2	9	6	5	5	5	5	5	7	8	3	4	5	5	5	5	5	5	4	4	5	5	5	5
OG0000424	4	8	3	8	7	4	5	5	2	5	5	5	4	4	4	4	5	5	5	5	5	5	5	7	5	5	5
OG0000427	0	11	3	0	9	2	12	1	7	10	6	6	1	1	2	3	4	4	4	4	4	4	4	4	4	5	7
OG0000429	5	6	1	6	5	6	6	3	6	6	7	4	5	2	4	5	5	5	5	5	5	5	5	5	5	5	6
OG0000430	3	6	3	12	9	6	3	4	2	4	6	3	6	1	3	4	4	4	4	5	5	4	4	9	4	4	4
OG0000433	0	6	7	1	9	4	4	1	6	9	7	11	2	1	3	3	4	4	4	4	4	4	4	4	4	7	7
OG0000434	0	6	7	0	7	4	10	3	4	7	3	9	7	1	4	5	5	5	5	5	5	5	5	5	4	5	5
OG0000435	3	4	10	10	8	4	4	6	3	4	5	4	1	2	3	3	4	4	4	5	5	5	4	8	4	4	4
OG0000437	4	8	5	5	6	3	8	0	2	8	4	3	1	11	4	4	4	4	5	5	5	5	5	5	2	4	5
OG0000440	4	6	7	5	7	4	5	2	1	8	5	7	3	3	4	4	4	4	5	5	5	5	5	5	2	5	5
OG0000441	7	7	4	9	9	4	3	4	2	3	4	4	5	2	3	4	4	4	4	5	6	6	7	8	4	4	4
